benchmark:  GFOX2
now works on benchmark:  GFOX  contract:  0x8f1cece048cade6b8a05dfa2f90ee4025f4f2662
total transactions:  13090
total:  13090
now finish:  445  total:  13090
now finish:  876  total:  13090
now finish:  897  total:  13090
now finish:  1002  total:  13090
now finish:  1026  total:  13090
now finish:  1051  total:  13090
now finish:  1279  total:  13090
now finish:  1459  total:  13090
now finish:  1982  total:  13090
now finish:  2066  total:  13090
now finish:  2067  total:  13090
now finish:  2068  total:  13090
now finish:  2069  total:  13090
now finish:  2070  total:  13090
now finish:  2071  total:  13090
now finish:  2072  total:  13090
now finish:  2073  total:  13090
now finish:  2074  total:  13090
now finish:  2075  total:  13090
now finish:  2076  total:  13090
now finish:  2077  total:  13090
now finish:  2078  total:  13090
now finish:  2079  total:  13090
now finish:  2080  total:  13090
now finish:  2081  total:  13090
now finish:  2082  total:  13090
now finish:  2083  total:  13090
now finish:  2084  total:  13090
now finish:  2085  total:  13090
now finish:  2086  total:  13090
now finish:  2087  total:  13090
now finish:  2088  total:  13090
now finish:  2089  total:  13090
now finish:  2090  total:  13090
now finish:  2091  total:  13090
now finish:  2092  total:  13090
now finish:  2093  total:  13090
now finish:  2094  total:  13090
now finish:  2095  total:  13090
now finish:  2096  total:  13090
now finish:  2097  total:  13090
now finish:  2098  total:  13090
now finish:  2099  total:  13090
now finish:  2100  total:  13090
now finish:  2101  total:  13090
now finish:  2102  total:  13090
now finish:  2103  total:  13090
now finish:  2104  total:  13090
now finish:  2105  total:  13090
now finish:  2106  total:  13090
now finish:  2107  total:  13090
now finish:  2108  total:  13090
now finish:  2109  total:  13090
now finish:  2110  total:  13090
now finish:  2111  total:  13090
now finish:  2112  total:  13090
now finish:  2113  total:  13090
now finish:  2114  total:  13090
now finish:  2115  total:  13090
now finish:  2116  total:  13090
now finish:  2117  total:  13090
now finish:  2118  total:  13090
now finish:  2119  total:  13090
now finish:  2120  total:  13090
now finish:  2121  total:  13090
now finish:  2122  total:  13090
now finish:  2123  total:  13090
now finish:  2124  total:  13090
now finish:  2125  total:  13090
now finish:  2126  total:  13090
now finish:  2127  total:  13090
now finish:  2128  total:  13090
now finish:  2129  total:  13090
now finish:  2130  total:  13090
now finish:  2131  total:  13090
now finish:  2132  total:  13090
now finish:  2133  total:  13090
now finish:  2134  total:  13090
now finish:  2135  total:  13090
now finish:  2136  total:  13090
now finish:  2137  total:  13090
now finish:  2138  total:  13090
now finish:  2139  total:  13090
now finish:  2140  total:  13090
now finish:  2141  total:  13090
now finish:  2142  total:  13090
now finish:  2143  total:  13090
now finish:  2144  total:  13090
now finish:  2145  total:  13090
now finish:  2146  total:  13090
now finish:  2147  total:  13090
now finish:  2148  total:  13090
now finish:  2149  total:  13090
now finish:  2150  total:  13090
now finish:  2151  total:  13090
now finish:  2152  total:  13090
now finish:  2153  total:  13090
now finish:  2154  total:  13090
now finish:  2155  total:  13090
now finish:  2156  total:  13090
now finish:  2157  total:  13090
now finish:  2158  total:  13090
now finish:  2159  total:  13090
now finish:  2160  total:  13090
now finish:  2161  total:  13090
now finish:  2162  total:  13090
now finish:  2163  total:  13090
now finish:  2164  total:  13090
now finish:  2165  total:  13090
now finish:  2166  total:  13090
now finish:  2167  total:  13090
now finish:  2168  total:  13090
now finish:  2169  total:  13090
now finish:  2170  total:  13090
now finish:  2171  total:  13090
now finish:  2172  total:  13090
now finish:  2173  total:  13090
now finish:  2174  total:  13090
now finish:  2175  total:  13090
now finish:  2176  total:  13090
now finish:  2177  total:  13090
now finish:  2178  total:  13090
now finish:  2179  total:  13090
now finish:  2180  total:  13090
now finish:  2181  total:  13090
now finish:  2182  total:  13090
now finish:  2183  total:  13090
now finish:  2184  total:  13090
now finish:  2185  total:  13090
now finish:  2186  total:  13090
now finish:  2187  total:  13090
now finish:  2188  total:  13090
now finish:  2189  total:  13090
now finish:  2190  total:  13090
now finish:  2191  total:  13090
now finish:  2192  total:  13090
now finish:  2193  total:  13090
now finish:  2194  total:  13090
now finish:  2195  total:  13090
now finish:  2196  total:  13090
now finish:  2197  total:  13090
now finish:  2198  total:  13090
now finish:  2199  total:  13090
now finish:  2200  total:  13090
now finish:  2201  total:  13090
now finish:  2202  total:  13090
now finish:  2203  total:  13090
now finish:  2204  total:  13090
now finish:  2205  total:  13090
now finish:  2206  total:  13090
now finish:  2207  total:  13090
now finish:  2208  total:  13090
now finish:  2209  total:  13090
now finish:  2210  total:  13090
now finish:  2211  total:  13090
now finish:  2212  total:  13090
now finish:  2213  total:  13090
now finish:  2214  total:  13090
now finish:  2215  total:  13090
now finish:  2216  total:  13090
now finish:  2217  total:  13090
now finish:  2218  total:  13090
now finish:  2219  total:  13090
now finish:  2220  total:  13090
now finish:  2221  total:  13090
now finish:  2222  total:  13090
now finish:  2223  total:  13090
now finish:  2224  total:  13090
now finish:  2225  total:  13090
now finish:  2226  total:  13090
now finish:  2227  total:  13090
now finish:  2228  total:  13090
now finish:  2229  total:  13090
now finish:  2230  total:  13090
now finish:  2231  total:  13090
now finish:  2232  total:  13090
now finish:  2233  total:  13090
now finish:  2234  total:  13090
now finish:  2235  total:  13090
now finish:  2236  total:  13090
now finish:  2237  total:  13090
now finish:  2238  total:  13090
now finish:  2239  total:  13090
now finish:  2240  total:  13090
now finish:  2241  total:  13090
now finish:  2242  total:  13090
now finish:  2243  total:  13090
now finish:  2244  total:  13090
